Repo,ForkedFrom,FeeUSD,YearsUsed,TotalOwed
renovate-bot/Manny27nyc-_--gitpod-io-spring-petclinic.,Manny27nyc/-gitpod-io-spring-petclinic.,250,2,500
renovate-bot/Manny27nyc-_-4GLTE_MezonLT_MAP,Manny27nyc/4GLTE_MezonLT_MAP,250,2,500
renovate-bot/Manny27nyc-_-Amberddata-API,Manny27nyc/Amberddata-API,250,2,500
renovate-bot/Manny27nyc-_-angular-playground,Manny27nyc/angular-playground,250,2,500
renovate-bot/Manny27nyc-_-Authorship_Proof_Apr2025,Manny27nyc/Authorship_Proof_Apr2025,250,2,500
renovate-bot/Manny27nyc-_-bitcoin-authorship-proof,Manny27nyc/bitcoin-authorship-proof,250,2,500
renovate-bot/Manny27nyc-_-Bitcoin_Authorship_Enforced,Manny27nyc/Bitcoin_Authorship_Enforced,250,2,500
renovate-bot/Manny27nyc-_-blitzjs,Manny27nyc/blitzjs,250,2,500
renovate-bot/Manny27nyc-_-oreBitcoin-Authorship,Manny27nyc/CoreBitcoin-Authorship,250,2,500
renovate-bot/Manny27nyc-_-CryptAPI,Manny27nyc/CryptAPI,250,2,500
biitez/CryptAPI,Manny27nyc/CryptAPI,250,2,500
renovate-bot/Manny27nyc-_-csb-k4i19,Manny27nyc/csb-k4i19,250,2,500
renovate-bot/Manny27nyc-_-curly-fiesta,Manny27nyc/curly-fiesta,250,2,500
renovate-bot/Manny27nyc-_-debian,Manny27nyc/debian,250,2,500
renovate-bot/Manny27nyc-_-electrum,Manny27nyc/electrum,250,2,500
renovate-bot/Manny27nyc-_-ethereum-licensing-enforcement,Manny27nyc/ethereum-licensing-enforcement,250,2,500
renovate-bot/Manny27nyc-_-fictional-invention,Manny27nyc/fictional-invention,250,2,500
renovate-bot/Manny27nyc-_-furry-octo-sniffle,Manny27nyc/furry-octo-sniffle,250,2,500
renovate-bot/Manny27nyc-_-gatsby-starter-portfolio-jodie,Manny27nyc/gatsby-starter-portfolio-jodie,250,2,500
renovate-bot/Manny27nyc-_-github-pr-badge.yml,Manny27nyc/github-pr-badge.yml,250,2,500
renovate-bot/Manny27nyc-_-hello-github-actions,Manny27nyc/hello-github-actions,250,2,500
renovate-bot/Manny27nyc-_-katacoda-scenarios,Manny27nyc/katacoda-scenarios,250,2,500
renovate-bot/Manny27nyc-_-my-first-static-web-app,Manny27nyc/my-first-static-web-app,250,2,500
renovate-bot/Manny27nyc-_-next-netlify-starter,Manny27nyc/next-netlify-starter,250,2,500
renovate-bot/Manny27nyc-_-QFlot,Manny27nyc/QFlot,250,2,500
renovate-bot/Manny27nyc-_-refactored-octo-winner,Manny27nyc/refactored-octo-winner,250,2,500
renovate-bot/Manny27nyc-_-saiive.supernode,Manny27nyc/saiive.supernode,250,2,500
muirglacier/saiive.supernode,Manny27nyc/saiive.supernode,250,2,500
renovate-bot/Manny27nyc-_-stunning-tribble,Manny27nyc/stunning-tribble,250,2,500
renovate-bot/Manny27nyc-_-vscode-software-development-tools,Manny27nyc/vscode-software-development-tools,250,2,500
isabella232/vscode-software-development-tools,Manny27nyc/vscode-software-development-tools,250,2,500
